timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/02/11 11:36:24.180, 82, 100 %, 50 %, 218.38 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:36:25.192, 82, 100 %, 51 %, 219.33 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:26.210, 82, 100 %, 51 %, 217.91 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:27.225, 82, 100 %, 52 %, 215.20 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:36:28.235, 82, 100 %, 51 %, 216.63 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:36:29.241, 82, 100 %, 50 %, 217.58 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:36:30.244, 82, 100 %, 48 %, 203.44 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:31.251, 82, 100 %, 49 %, 213.77 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:32.255, 82, 100 %, 48 %, 211.87 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:33.259, 81, 100 %, 50 %, 211.39 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:34.265, 81, 100 %, 50 %, 205.82 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:36:35.268, 81, 100 %, 48 %, 203.92 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:36.269, 81, 100 %, 49 %, 213.77 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:37.292, 81, 100 %, 49 %, 207.73 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:38.302, 81, 100 %, 50 %, 202.96 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:39.306, 81, 100 %, 49 %, 211.06 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:40.309, 81, 100 %, 48 %, 212.82 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:41.313, 81, 100 %, 48 %, 210.92 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:42.318, 81, 100 %, 48 %, 207.73 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:43.323, 81, 100 %, 49 %, 201.67 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:36:44.329, 81, 100 %, 50 %, 203.92 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:45.337, 81, 100 %, 49 %, 212.34 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:46.349, 81, 100 %, 49 %, 211.39 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:47.359, 81, 100 %, 54 %, 207.73 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:36:48.406, 81, 100 %, 50 %, 203.92 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:49.407, 81, 100 %, 49 %, 203.44 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:50.448, 81, 100 %, 46 %, 203.44 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:51.453, 81, 100 %, 47 %, 204.87 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:52.461, 81, 100 %, 48 %, 212.82 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:53.470, 81, 100 %, 49 %, 211.87 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:54.481, 81, 100 %, 50 %, 208.68 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:55.490, 81, 100 %, 49 %, 208.20 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:56.498, 81, 100 %, 51 %, 204.39 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:36:57.526, 81, 100 %, 55 %, 138.95 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:36:58.528, 80, 100 %, 46 %, 192.27 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:36:59.530, 81, 100 %, 49 %, 198.34 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:37:00.535, 81, 100 %, 52 %, 210.44 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:01.544, 81, 100 %, 51 %, 209.96 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:02.552, 81, 100 %, 50 %, 210.44 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:03.560, 81, 100 %, 51 %, 209.63 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:04.568, 82, 100 %, 51 %, 211.87 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:05.575, 82, 100 %, 50 %, 209.63 W, 1192 MHz, 877 MHz, P0
